Model_id,Year,Version_id,share,delta_iia,price,dpm,hp2wt,size,turbo,trans,Year_1986,Year_1987,Year_1988,Year_1989,Year_1990,Year_1991,Year_1992,Year_1993,Year_1994,Year_1995,Year_1996,Year_1997,Year_1998,Year_1999,Year_2000,Year_2001,Year_2002,Year_2003,Year_2004,Year_2005,Year_2006,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,model_class_2,model_class_3,model_class_4,model_class_5,cyl_2,cyl_4,cyl_6,cyl_8,drive_2,drive_3,Intercept
3,2007,302,.0005111703067087,-7.459763785233171,18.92608642578125,7.258814573287964,6.60938549041748,.9910106062889099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
3,2008,302,.0004483662196435,-7.600755342572781,18.33609008789063,8.246982097625732,6.60938549041748,1.020950555801392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
3,2009,302,.0002507189055905,-8.215812340464179,18.77939414978027,5.955176055431366,6.615214824676514,1.020950555801392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
3,2010,302,.0003617617185228,-7.842456279183931,19.04721641540527,6.580377370119095,6.593406677246094,1.025768876075745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
3,2011,302,.0003774817450903,-7.791471556167842,18.4858341217041,8.069874346256256,6.593406677246094,1.025768876075745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
3,2012,302,.0004102025995962,-7.696015544158846,18.41575813293457,8.249229192733765,6.593406677246094,1.025768876075745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1
3,2013,302,.0003793320502155,-7.766606875758618,18.29903030395508,7.89816752076149,6.593406677246094,1.025768876075745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1
3,2014,303,.0005412274622358,-7.403620893592962,18.04768943786621,5.923249572515488,7.010240077972412,.9968928098678589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
3,2015,303,.0004876271123067,-7.50540522243178,18.10161399841309,4.337763041257858,6.88118314743042,.9968928098678589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
5,2007,501,.0002018787054112,-8.388799552354643,15.66818428039551,6.766163557767868,6.116208076477051,.8671286106109619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
5,2008,502,.0001643184368731,-8.60455946218009,15.19865131378174,6.904902309179306,6.116208076477051,.8671286106109619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
5,2009,502,.0000803484872449,-9.353771489059444,15.58802223205566,5.352120473980904,6.102211952209473,.8671286106109619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
5,2010,502,.0001175881989184,-8.966253357056489,15.19263362884521,5.959966033697128,6.25864315032959,.8757663369178772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
5,2011,502,.0001215106894961,-8.924991528008965,14.7491979598999,7.309029996395111,6.25864315032959,.8757663369178772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
5,2012,502,.0001987195573747,-8.420772155803283,14.61828327178955,7.471475005149841,6.25864315032959,.8757663369178772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
5,2013,503,.0003490490489639,-7.849806365439405,14.87741279602051,6.198973953723907,7.119206428527832,.8757663369178772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
5,2014,503,.0003603520162869,-7.810379155119883,12.72000312805176,5.864551290869713,7.228856086730957,.8939330577850342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
5,2015,503,.0004035091842525,-7.694756973155927,14.93810653686523,4.294776916503906,7.228856086730957,.8939330577850342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
6,1996,601,.0001131976532633,-8.962386892210247,24.86920166015625,3.808332979679108,5.737704753875732,.7859506607055664,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
6,1997,601,.0001624629367143,-8.603203802542598,24.91263198852539,3.658320009708405,5.737704753875732,.7581294178962708,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
6,1998,601,.0001479388447478,-8.696401706305044,24.6489429473877,3.091362491250038,5.737704753875732,.7581294178962708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
6,1999,601,.0001264163729502,-8.843839816186014,25.80766868591309,3.394303843379021,5.46875,.7889609932899475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
6,2000,601,.0001340091839666,-8.779619904307335,16.17019462585449,4.367798566818237,5.443234920501709,.7931041121482849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
6,2001,601,.0001058492052834,-9.02407909951943,23.22865676879883,4.109135270118713,5.443234920501709,.7931041121482849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
6,2002,601,.0000940437457757,-9.140023297134356,23.4061336517334,3.760414570569992,5.815456390380859,.7953256368637085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
6,2003,601,.0000651071386528,-9.514025292219154,22.89750480651855,4.307899624109268,5.739795684814453,.7671725153923035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
6,2004,601,.0000432933666161,-9.922272846721409,23.57328033447266,4.957294091582298,5.779604434967041,.7671725153923035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
6,2005,602,.0001631696650293,-8.593796037543012,24.44370079040527,5.562163889408112,7.530120372772217,.8036664724349976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
6,2006,602,.0001138426523539,-8.958939622161187,23.89284324645996,6.07861764729023,7.228314876556396,.8036664724349976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
6,2007,602,.0000628430498182,-9.555826255860513,21.61850929260254,6.394243985414505,7.228314876556396,.8036664724349976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
6,2008,602,.0000435992187704,-9.931326463530876,21.06341934204102,7.175683230161667,7.224713325500488,.8036664724349976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
6,2009,602,.0000190746832232,-10.79178278387509,21.33879089355469,5.476910993456841,7.347538471221924,.814222514629364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
6,2010,602,.0000169186259882,-10.90502689364374,21.08293342590332,6.392852962017059,7.347538471221924,.8138066530227661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
7,2013,701,.0000233920491155,-10.55262263597474,20.82929611206055,5.684861168265343,7.500956535339355,.8418338298797607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
7,2014,701,.0000389338929381,-10.03559537679957,21.71903800964355,5.378174036741257,7.500956535339355,.8418338298797607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
7,2015,701,.0000200020876946,-10.6991195692393,22.43158721923828,3.938588872551918,7.500956535339355,.8418338298797607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
8,2001,801,.0000772939747549,-9.338478582816405,13.1916036605835,2.890719100832939,5.196733474731445,.6442500948905945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
8,2002,801,.0002883139532059,-8.019733350050888,10.96005630493164,2.645399048924446,5.196733474731445,.6442500948905945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
8,2003,802,.0002328839327674,-8.239519305324755,10.74058246612549,3.030547127127647,5.880191326141357,.6395732164382935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
8,2004,802,.0001895308960229,-8.445720223130017,10.50823211669922,3.487387299537659,5.880191326141357,.6395732164382935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
8,2005,802,.0001830763067119,-8.478683544251286,10.25034523010254,4.04326505959034,5.852231025695801,.6426572203636169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
8,2006,802,.0001716992410365,-8.548012527028503,9.980281829833984,4.418686777353287,5.66934871673584,.6426572203636169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
9,1996,901,.0000231938847719,-10.54763367036637,21.10822296142578,5.139854922890663,4.403244495391846,.9351603388786316,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
9,1997,901,.0000142692733789,-11.03554518583668,21.48552894592285,4.777159169316292,4.403244495391846,.9351603388786316,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
9,1998,901,.0000165777764778,-10.88513765149481,19.43596458435059,4.036806896328926,4.403244495391846,.9351603388786316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
9,1999,901,6.47349543215e-06,-11.81570460745102,21.28965950012207,4.315268993377686,4.658721446990967,.9450878500938416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
9,2000,901,3.42855014424e-06,-12.44539076563148,20.82671737670898,5.411289259791374,4.658721446990967,.9450878500938416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
10,1996,1001,.0002510443737265,-8.165892615613695,18.9709529876709,3.744887933135033,5.595365524291992,.7507463097572327,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
10,1997,1001,.0002341214130865,-8.237813856398658,18.71077919006348,3.66981215775013,5.595365524291992,.7507463097572327,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
