Model_id,Year,i_import,diffiv_local_0,diffiv_local_1,diffiv_local_2,diffiv_local_3,diffiv_ed_0,blpiv_0,blpiv_1,blpiv_2,blpiv_3,blpiv_4,blpiv_5
6,2006,1,27,28,37,42,139.2444818478351,64.31842409074306,69.72283887863159,9.539643943309784,0,1,5
6,2007,1,29,39,52,44,150.0727484277842,69.84250769019127,71.56480884552002,9.761537492275238,0,1,4
6,2008,1,26,43,53,42,147.6926597021053,77.76822224259377,71.56976413726807,9.84793496131897,0,1,4
6,2009,1,25,35,41,49,147.9209059792253,59.64082069694996,76.00088500976563,10.64184832572937,0,1,5
6,2010,1,27,33,37,37,141.1872370084943,77.99092158675194,86.56758499145508,12.58305108547211,0,0,5
7,2013,1,44,41,45,38,143.7672057539206,84.24326330423355,87.47859859466553,12.45789283514023,0,0,5
7,2014,1,43,45,45,43,143.7966433756262,75.50382390618324,87.92799854278564,12.26271843910217,0,0,4
7,2015,1,39,35,45,41,132.4512036930717,46.88225947320461,74.22448348999023,10.66140043735504,0,0,3
8,2001,1,56,54,34,23,114.007620672625,45.40922427549958,73.2897469997406,9.820259988307953,0,1,7
8,2002,1,59,54,32,19,112.4510476089998,39.3665449693799,68.24605107307434,9.531812965869904,0,2,4
8,2003,1,54,64,34,21,117.8740626158151,47.88407441228628,74.15268015861511,10.21766495704651,0,3,5
8,2004,1,63,60,40,18,128.4572589066049,48.81319086998701,65.39449501037598,8.964512884616852,0,2,4
8,2005,1,61,61,39,14,134.871403373712,57.40474537014961,67.87926721572876,9.031457543373108,0,2,4
8,2006,1,74,54,38,15,139.7887479060281,65.97835496068001,71.28180503845215,9.700653195381165,0,1,5
9,1996,1,10,8,10,12,136.9660884963928,27.35572550445795,39.47869682312012,5.806984543800354,0,1,5
9,1997,1,12,10,20,26,122.8781807728597,29.49421908706427,46.79584932327271,6.479391753673553,0,0,5
9,1998,1,13,16,21,29,113.7991110324735,24.907136708498,47.97703695297241,6.525141596794128,0,0,5
9,1999,1,13,11,25,26,120.3315687224623,33.16140528768301,62.54449605941772,8.167985916137695,0,1,5
9,2000,1,14,18,20,30,126.9965187092445,43.59071645885706,63.98317074775696,8.915422439575195,0,2,7
10,1996,1,12,13,26,29,109.8397128973734,28.75069249421358,38.28657579421997,5.991398572921753,0,1,5
10,1997,1,15,23,36,23,105.4124737884271,30.60156609863043,45.60372829437256,6.663805782794952,0,0,5
10,1998,1,14,28,35,29,101.1422217103701,25.84286984056234,46.85241985321045,6.709555625915527,0,0,5
10,1999,0,18,32,32,39,104.4340188382368,34.30780377238989,60.70220613479614,8.357733309268951,0,1,6
10,2000,0,23,35,39,38,108.4945157639594,45.2088987454772,62.18194365501404,9.105169832706451,0,2,8
10,2001,0,27,40,50,34,112.946923841071,44.73146619275212,72.02653193473816,9.703745305538177,0,1,8
10,2002,0,39,38,52,28,109.4053715874319,38.74630462378263,67.00317358970642,9.44521951675415,0,2,5
10,2003,0,45,45,56,25,115.0169301489697,47.17353228479624,73.5932605266571,10.12639462947845,0,3,6
10,2004,0,35,40,40,53,125.3323634849897,48.16378336399794,63.52052211761475,8.841831743717194,0,2,5
10,2005,0,36,38,52,41,128.0540853132116,56.56352825462818,65.97733402252197,8.89916980266571,0,2,5
10,2006,0,39,48,52,38,130.1709082896487,64.93985690176487,69.54161882400513,9.568365454673767,0,1,6
10,2007,0,45,61,50,37,143.099855910319,70.31121365725994,71.28588628768921,9.789235532283783,0,1,5
10,2008,0,46,64,49,32,141.7320163535506,78.48721444606781,71.30099868774414,9.875633001327515,0,1,5
10,2009,0,30,46,63,42,138.7298844669145,60.28853058815002,75.37863397598267,10.62940496206284,0,1,6
10,2010,0,37,35,46,39,133.392127757695,78.87564636766911,86.17841482162476,12.57019186019897,0,0,6
10,2011,0,39,31,49,36,139.3453407204613,85.82255207002163,78.18347597122192,11.79828727245331,0,0,5
10,2012,0,43,31,47,36,138.8577407469818,84.28453169763088,79.05153846740723,11.63056230545044,0,0,5
10,2013,0,42,36,40,41,145.939222016283,83.54216627776623,87.03936767578125,12.47856342792511,0,0,6
10,2014,0,40,42,40,48,144.9013890369113,74.74312707781792,87.75666761398315,12.28338903188705,0,0,5
11,2014,0,54,58,47,34,143.1321096966815,75.90663656592369,88.18190097808838,12.31271398067474,0,0,5
11,2015,0,52,52,43,36,130.3570324196749,47.17725068330765,74.47838592529297,10.71139597892761,0,0,4
12,2003,1,48,63,39,23,116.6236140096508,47.3031448200345,73.84092116355896,10.12832373380661,0,3,5
12,2004,1,57,67,35,23,126.4963482687898,48.14468901604414,65.08273601531982,8.875171661376953,0,2,4
12,2005,1,55,60,40,23,131.9276300047866,56.54098242521286,67.53954792022705,8.945200324058533,0,2,4
12,2006,1,58,60,43,24,134.9621393400064,65.1495136320591,70.60440444946289,9.614395976066589,0,1,5
12,2007,1,80,57,41,20,148.5937951782496,70.80876044929028,72.44637441635132,9.836289525032043,0,1,4
12,2008,1,75,63,36,19,148.8230568092709,78.94456386566162,72.50034189224243,9.922686994075775,0,1,4
12,2009,1,77,55,39,14,144.4086548816717,60.91496497392654,77.46951150894165,10.69211542606354,0,1,5
12,2010,1,56,52,46,23,135.803846659894,79.32131662964821,87.43771505355835,12.63495481014252,0,0,5
12,2011,1,62,52,45,18,142.4237976688754,86.88271157443523,79.72553586959839,11.85952711105347,0,0,4
12,2012,1,61,56,48,18,142.3235132338933,84.83034335076809,80.56041812896729,11.68545299768448,0,0,4
12,2013,1,58,58,53,18,148.5779030424788,84.14858095347881,88.75509214401245,12.53007847070694,0,0,5
12,2014,1,59,64,46,26,148.1566654370999,75.41424967348576,89.20449209213257,12.33490407466888,0,0,4
13,2010,0,36,43,45,38,131.9688036111367,77.99092158675194,87.13393020629883,12.4483642578125,0,0,6
13,2011,0,41,37,45,37,136.9964217621665,85.16522534191608,79.138991355896,11.67730617523193,0,0,5
13,2012,0,46,31,44,40,138.1395547656274,83.16224329173565,80.00368785858154,11.50323206186295,0,0,5
13,2013,0,44,42,44,38,143.8496905756091,82.46763907372952,88.21975326538086,12.35123318433762,0,0,6
14,1986,1,32,32,26,32,89.58527617718887,10.34211311489344,13.46990299224854,1.885526299476624,0,2,2
14,1987,1,34,25,30,37,89.88701048183354,16.70065056532621,22.0864109992981,3.241593420505524,0,3,3
14,1988,1,43,35,24,35,92.82570010355765,16.03562440723181,22.8196325302124,3.260449111461639,0,2,3
14,1989,1,38,39,28,35,97.49255546976886,17.08888728171587,22.15061807632446,3.308517694473267,0,3,3
14,1990,1,42,38,34,28,94.92342704595711,16.06561504304409,18.44298505783081,2.79020231962204,0,2,3
14,1991,1,52,46,30,30,99.88198497445156,21.87643647193909,29.78391671180725,4.11016058921814,0,5,4
14,1992,1,50,39,26,32,98.18360319101586,16.02744460105896,24.53302073478699,3.366003215312958,0,5,3
14,1993,1,47,38,30,28,95.35194060093917,14.83002360910177,25.36626529693604,3.295262217521667,0,0,3
14,1994,1,53,37,29,29,99.89566671550837,18.97514164447784,29.5113205909729,4.110371470451355,0,0,3
14,1995,1,44,41,26,25,89.41197231586824,16.00196175277233,23.99574565887451,3.41729748249054,0,0,2
14,1996,1,40,40,32,24,93.38619315311624,29.55243103206158,38.37283325195313,6.114097058773041,0,1,5
14,1997,1,48,43,33,23,96.58807325688194,31.38723187148571,45.80194473266602,6.78650426864624,0,0,5
14,1998,1,50,41,31,18,97.01129166724847,26.50677505880594,47.01938629150391,6.832254111766815,0,0,5
14,1999,1,58,45,28,15,102.8298204692665,34.85349416732788,61.96499681472778,8.485025942325592,0,1,5
14,2000,1,62,43,32,17,110.5344610236392,45.71257326751947,63.41226553916931,9.232462465763092,0,2,7
14,2001,1,73,45,33,12,117.589510098553,45.20531268790364,73.24825978279114,9.836462259292603,0,1,7
15,1986,1,10,12,21,26,111.9998513455523,9.36956163495779,13.37150192260742,1.768634259700775,0,1,2
15,1987,1,11,13,28,19,111.1603364359574,15.95025788992643,21.97211313247681,3.127139508724213,0,2,3
15,1988,1,8,19,33,19,113.447553314601,15.14535676687956,22.60831594467163,3.12075936794281,0,1,3
15,1989,1,6,15,31,26,119.206938744684,16.06546714901924,22.06609392166138,3.191610991954803,0,2,3
15,1990,1,11,12,33,28,112.5569504304945,15.32986201345921,18.44256448745728,2.704876065254211,0,2,3
15,1991,1,8,11,19,31,132.0992705102985,21.30790166556835,28.98859477043152,3.95338374376297,0,5,4
15,1992,1,11,10,24,33,123.1622870177823,15.23859910666943,24.17834877967834,3.209226369857788,0,5,3
15,1993,1,8,5,14,18,135.8188957913586,13.97442352026701,24.642005443573,3.139453232288361,0,0,3
15,1994,1,10,11,14,23,129.9547531283629,18.19300055503845,29.03122663497925,3.85272154211998,0,0,3
15,1995,1,6,10,21,22,113.3764113304546,15.21743629127741,23.50429582595825,3.272807478904724,0,0,2
16,1991,1,29,32,42,25,103.4322000152194,21.45760655403137,29.22992157936096,3.98390531539917,0,5,4
16,1992,1,29,34,37,22,100.6099416921389,15.38227163255215,24.36735129356384,3.239747941493988,0,5,3
16,1993,1,25,38,30,30,98.1652322829803,14.29577376693487,25.18636989593506,3.194366335868835,0,0,3
16,1994,1,25,35,36,33,100.6996934733194,18.45234930515289,29.43025684356689,3.909983605146408,0,0,3
17,1990,1,12,21,29,35,107.4944662526295,3.519746661186218,4.70957612991333,.528019905090332,0,1,1
17,1991,1,18,30,31,40,108.9063142860347,3.307971358299255,4.70957612991333,.5325866937637329,0,1,1
17,1992,1,20,30,34,29,104.7071820623133,3.174681589007378,4.70957612991333,.5325866937637329,0,1,1
17,1993,1,15,25,40,26,103.7494789774215,3.080953843891621,4.70957612991333,.5325866937637329,0,0,1
20,1986,1,18,25,32,27,94.02279012610485,3.611113876104355,4.513343811035156,.528019905090332,0,1,1
20,1987,1,13,27,23,28,100.7567987103301,3.562886640429497,4.513343811035156,.528019905090332,0,1,1
20,1988,1,26,28,27,25,98.9832304256267,3.41411679983139,4.513343811035156,.528019905090332,0,1,1
20,1989,1,24,24,30,33,104.1676865057086,3.518853336572647,4.513343811035156,.528019905090332,0,1,1
21,1985,1,28,34,22,39,88.89607541662828,0,0,0,0,0,0
21,1986,1,32,31,26,36,89.37444942775294,4.212966188788414,4.416403770446777,.6345767974853516,0,1,1
